timestamp,raw_start_location,raw_end_location,fee
2023-01-10 08:45:16,"9, Rue Nobel, Paris 18e Arrondissement","27, Rue de l’Annonciation, Paris 16e Arrondissement",11.76
2023-01-09 11:20:03,"20, Rue Sibuet, Paris 12e Arrondissement","38, Rue Paul Barruel, Paris 15e Arrondissement",12.11
2023-01-06 17:29:20,"19, Rue du Dragon, Paris 6e Arrondissement","4, Avenue de la Porte des Ternes, Paris 17e Arrondissement",5.0
2023-01-05 18:51:42,"269, Rue Lecourbe, Paris 15e Arrondissement","29, Boulevard Barbès, Paris 18e Arrondissement",12.14
2023-01-10 06:47:49,"12, Villa Gagliardini, Paris 20e Arrondissement","38, Rue Lemercier, Paris 17e Arrondissement",5.0
2023-01-05 16:05:06,"29, Rue du Laos, Paris 15e Arrondissement","10, Avenue du Maine, Paris 15e Arrondissement",5.0
2023-01-11 22:12:23,"8, Passage des Taillandiers, Paris 11e Arrondissement","53, Avenue de la Porte d’Auteuil, Paris 16e Arrondissement",19.41
2023-01-06 14:03:49,"26, Rue de la Pointe d’Ivry, Paris 13e Arrondissement","28, Rue des Cévennes, Paris 15e Arrondissement",5.0
2023-01-18 19:25:12,"64, Rue Mstislav Rostropovitch, Paris 17e Arrondissement","313, Rue de Vaugirard, Paris 15e Arrondissement",7.32
2023-01-01 10:18:57,"1, Place Mazas, Paris 12e Arrondissement","27, Rue de l’Yvette, Paris 16e Arrondissement",14.11
2023-01-21 21:08:09,"12, Rue Faidherbe, Paris 11e Arrondissement","15, Rue du Bouloi, Paris 1er Arrondissement",10.41
2023-01-14 12:45:17,"14, Rue Julia Bartet, Paris 14e Arrondissement","3, Rue Eugène Millon, Paris 15e Arrondissement",5.0
2023-01-12 08:39:33,"2, Rue des Morillons, Paris 15e Arrondissement","33, Rue Cauchy, Paris 15e Arrondissement",5.0
2023-01-22 16:14:06,"102, Rue des Vignoles, Paris 20e Arrondissement","58, Rue de l’Amiral Mouchez, Paris 14e Arrondissement",5.86
2023-01-26 14:36:23,"21, Villa Scheffer, Paris 16e Arrondissement","29, Rue Henry Monnier, Paris 9e Arrondissement",15.67
2023-01-07 23:22:59,"39, Rue Maurice Ripoche, Paris 14e Arrondissement","4, Allée Isadora Duncan, Paris 15e Arrondissement",5.0
2023-01-23 09:44:58,"100, Rue Quincampoix, Paris 3e Arrondissement","2, Rue Marsollier, Paris 2e Arrondissement",5.0
2023-01-02 01:14:05,"44, Rue Fessart, Paris 19e Arrondissement","3, Rue Camille Blaisot, Paris 17e Arrondissement",6.73
2023-01-27 19:16:26,"35, Rue Saint-Didier, Paris 16e Arrondissement","5, Avenue Rapp, Paris 7e Arrondissement",7.1
2023-01-14 01:45:31,"56, Avenue de Saint-Mandé, Paris 12e Arrondissement","4, Rue Dalou, Paris 15e Arrondissement",6.49
2023-01-29 19:48:21,"102, Rue des Grands Champs, Paris 20e Arrondissement","64, Rue de la Roquette, Paris 11e Arrondissement",5.0
2023-01-14 07:08:24,"27, Rue Saint-Sébastien, Paris 11e Arrondissement","86, Avenue des Champs Elysées, Paris 8e Arrondissement",12.13
2023-01-15 08:24:48,"213, Boulevard Vincent Auriol, Paris 13e Arrondissement","6, Rue Leroux, Paris 16e Arrondissement",6.25
2023-01-27 21:16:14,"11, Rue du Marché Saint-Honoré, Paris 1er Arrondissement","2, Rue du Docteur Potain, Paris 19e Arrondissement",9.03
2023-01-06 04:47:13,"11, Rue Emeriau, Paris 15e Arrondissement","28, Quai d’Orléans, Paris 4e Arrondissement",5.0
2023-01-23 09:18:16,"88, Rue de l’Abbé Carton, Paris 14e Arrondissement","22, Rue Godot de Mauroy, Paris 9e Arrondissement",5.87
2023-01-14 09:38:33,"5, Rue Rouvet, Paris 19e Arrondissement","2, Rue Laurent-Pichat, Paris 16e Arrondissement",18.44
2023-01-14 13:20:58,"6, Villa Jacquemont, Paris 17e Arrondissement","49, Rue Saint-Honoré, Paris 1er Arrondissement",5.0
2023-01-08 20:12:56,"4, Rue Vide-Gousset, Paris 2e Arrondissement","1, Impasse Grisel, Paris 15e Arrondissement",5.0
2023-01-24 08:04:21,"144, Rue Marcadet, Paris 18e Arrondissement","8, Rue Bonnet, Paris 18e Arrondissement",5.0
2023-01-08 23:20:56,"20, Rue du Terrage, Paris 10e Arrondissement","85, Boulevard Exelmans, Paris 16e Arrondissement",13.85
2023-01-01 07:27:20,"13, Avenue Robert Schuman, Paris 7e Arrondissement","22, Rue des Colonnes du Trône, Paris 12e Arrondissement",5.78
2023-01-26 13:30:39,"13, Rue Marguerite de Rochechouart, Paris 9e Arrondissement","72, Avenue de Flandre, Paris 19e Arrondissement",5.0
2023-01-07 10:29:52,"11, Rue Gaston Tessier, Paris 19e Arrondissement","29, Rue de l’Abbé Carton, Paris 14e Arrondissement",41.61
2023-01-08 22:40:52,"45, Rue de Douai, Paris 9e Arrondissement","12, Passage de la Providence, Paris 20e Arrondissement",17.33
2023-01-27 08:45:41,"17, Rue Morère, Paris 14e Arrondissement","11, Rue Marcadet, Paris 18e Arrondissement",7.04
2023-01-17 10:28:50,"24, Rue Simart, Paris 18e Arrondissement","4, Rue Pierre Demours, Paris 17e Arrondissement",9.45
2023-01-29 13:10:20,"25, Rue Boinod, Paris 18e Arrondissement","3, Rue du Général Lasalle, Paris 19e Arrondissement",5.0
2023-01-25 18:09:06,"50, Rue Mouraud, Paris 20e Arrondissement","189, Rue Saint-Denis, Paris 2e Arrondissement",5.69
2023-01-06 11:29:10,"5, Rue Jean Sicard, Paris 15e Arrondissement","13, Rue Paul et Jean Lerolle, Paris 7e Arrondissement",14.84
2023-01-23 17:06:26,"30, Rue Coquillière, Paris 1er Arrondissement","61, Rue du Château d’Eau, Paris 10e Arrondissement",5.0
2023-01-14 10:52:17,"20, Rue Caillaux, Paris 13e Arrondissement","7, Villa du Danube, Paris 19e Arrondissement",5.27
2023-01-03 18:09:48,"29, Rue Jouffroy d’Abbans, Paris 17e Arrondissement","6, Rue Cyrano de Bergerac, Paris 18e Arrondissement",5.0
2023-01-26 12:39:49,"40, Rue de la Tombe Issoire, Paris 14e Arrondissement","43, Avenue de Saint-Mandé, Paris 12e Arrondissement",5.0
2023-01-25 08:37:45,"98, Rue de la Croix Nivert, Paris 15e Arrondissement","7, Rue Désiré Ruggieri, Paris 18e Arrondissement",29.39
2023-01-09 15:47:07,"4, Rue de la Moskova, Paris 18e Arrondissement","49, Rue de Longchamp, Paris 16e Arrondissement",5.0
2023-01-17 08:27:26,"49, Rue Boussingault, Paris 13e Arrondissement","41, Avenue Kléber, Paris 16e Arrondissement",5.34
2023-01-15 08:26:20,"162, Boulevard Davout, Paris 20e Arrondissement","37, Rue de Palestro, Paris 2e Arrondissement",7.27
2023-01-05 20:46:47,"27, Rue Asseline, Paris 14e Arrondissement","20, Avenue d’Ivry, Paris 13e Arrondissement",8.76
2023-01-30 18:12:32,"7, Rue Quincampoix, Paris 4e Arrondissement","6, Avenue des Gobelins, Paris 5e Arrondissement",6.0
2023-01-15 00:06:56,"109, Avenue de Choisy, Paris 13e Arrondissement","137, Rue Brancion, Paris 15e Arrondissement",5.0
2023-01-20 18:44:53,"27, Rue de Varenne, Paris 7e Arrondissement","119, Rue des Morillons, Paris 15e Arrondissement",5.0
2023-01-09 09:59:49,"23, Rue Bichat, Paris 10e Arrondissement","4, Rue Guénot, Paris 11e Arrondissement",5.36
2023-01-28 13:55:47,"2, Rue Franquet, Paris 15e Arrondissement","107, Avenue Philippe-Auguste, Paris 11e Arrondissement",7.86
2023-01-20 15:01:41,"37, Rue des Plantes, Paris 14e Arrondissement","13, Rue Soufflot, Paris 5e Arrondissement",5.0
2023-01-13 22:22:51,"10, Passage Montgallet, Paris 12e Arrondissement","2, Place du Nicaragua, Paris 17e Arrondissement",18.25
2023-01-15 13:33:21,"60, Rue de la Colonie, Paris 13e Arrondissement","120, Rue Amelot, Paris 11e Arrondissement",5.0
2023-01-28 14:23:37,"73, Rue des Orteaux, Paris 20e Arrondissement","11, Place Françoise Dorin, Paris 17e Arrondissement",5.0
2023-01-29 07:26:49,"23, Boulevard de Picpus, Paris 12e Arrondissement","108, Rue Lamarck, Paris 18e Arrondissement",15.27
2023-01-15 06:45:19,"86, Boulevard Davout, Paris 20e Arrondissement","5, Rue Nicolo, Paris 16e Arrondissement",6.16
2023-01-30 08:44:04,"98, Avenue Simon Bolivar, Paris 19e Arrondissement","3, Boulevard Barbès, Paris 18e Arrondissement",5.33
2023-01-05 00:20:47,"40, Quai de la Marne, Paris 19e Arrondissement","54, Rue Sébastien Mercier, Paris 15e Arrondissement",16.08
2023-01-12 14:26:04,"3, Rue Maurice Maignen, Paris 15e Arrondissement","2, Rue Bernard Buffet, Paris 17e Arrondissement",7.19
2023-01-28 21:07:00,"93, Avenue de la République, Paris 11e Arrondissement","19, Passage Raguinot, Paris 12e Arrondissement",5.0
2023-01-13 13:34:47,"82, Rue des Poissonniers, Paris 18e Arrondissement","4, Rue Oberkampf, Paris 11e Arrondissement",5.0
2023-01-30 02:04:57,"36, Rue de la Sablière, Paris 14e Arrondissement","147, Boulevard Murat, Paris 16e Arrondissement",5.0
2023-01-08 16:18:30,"113, Rue Saint-Honoré, Paris 1er Arrondissement","18, Rue des Renaudes, Paris 17e Arrondissement",5.0
2023-01-15 12:33:54,"15, Rue Jean Giraudoux, Paris 16e Arrondissement","26, Avenue de la Porte d’Ivry, Paris 13e Arrondissement",31.02
2023-01-25 09:53:55,"28, Avenue Théophile Gautier, Paris 16e Arrondissement","112, Avenue de Flandre, Paris 19e Arrondissement",43.7
2023-01-13 14:54:10,"153, Rue Ordener, Paris 18e Arrondissement","5, Rue Ganneron, Paris 18e Arrondissement",5.0
2023-01-02 09:41:25,"1, Villa Murat, Paris 16e Arrondissement","8, Rue Louis Lumière, Paris 20e Arrondissement",54.66
2023-01-30 07:01:45,"32, Rue de l’Abbé Grégoire, Paris 6e Arrondissement","6, Passage des Marais, Paris 10e Arrondissement",5.11
2023-01-23 16:48:10,"25, Avenue Pierre de Coubertin, Paris 13e Arrondissement","1, Villa Guizot, Paris 17e Arrondissement",5.0
2023-01-16 00:28:19,"16, Square de l’Avenue Foch, Paris 16e Arrondissement","11, Rue des Saules, Paris 18e Arrondissement",8.85
2023-01-15 15:55:28,"147, Rue Cardinet, Paris 17e Arrondissement","18, Rue Royer-Collard, Paris 5e Arrondissement",8.7
2023-01-18 03:52:15,"45, Rue la Bruyère, Paris 9e Arrondissement","25, Rue Fourcroy, Paris 17e Arrondissement",5.0
2023-01-15 16:21:46,"109, Rue d’Avron, Paris 20e Arrondissement","20, Boulevard Carnot, Paris 12e Arrondissement",5.0
2023-01-16 21:18:38,"96, Rue de Turenne, Paris 3e Arrondissement","22, Rue de Choiseul, Paris 2e Arrondissement",5.53
2023-01-21 20:35:09,"52, Rue de l’Aqueduc, Paris 10e Arrondissement","4, Villa Georgina, Paris 20e Arrondissement",10.95
2023-01-07 14:20:01,"84, Rue de la Colonie, Paris 13e Arrondissement","17, Rue du Cirque, Paris 8e Arrondissement",5.0
2023-01-03 10:21:50,"29, Rue Buffon, Paris 5e Arrondissement","6, Rue des Mauvais Garçons, Paris 4e Arrondissement",5.0
2023-01-04 21:19:12,"7, Rue Viète, Paris 17e Arrondissement","11, Rue des Balkans, Paris 20e Arrondissement",34.96
2023-01-06 21:38:54,"5, Rue de Poitou, Paris 3e Arrondissement","20, Rue Francis de Miomandre, Paris 13e Arrondissement",12.54
2023-01-17 08:53:57,"78, Rue Sedaine, Paris 11e Arrondissement","13, Voie Ac/18, Paris 18e Arrondissement",12.25
2023-01-01 02:53:33,"246, Rue de Bercy, Paris 12e Arrondissement","134, Rue du Faubourg Poissonnière, Paris 10e Arrondissement",5.0
2023-01-10 15:00:47,"6, Impasse des Arts, Paris 12e Arrondissement","15, Rue de Laghouat, Paris 18e Arrondissement",5.0
2023-01-11 20:00:19,"8, Rue de la Renaissance, Paris 8e Arrondissement","24, Rue Alibert, Paris 10e Arrondissement",9.82
2023-01-18 08:37:46,"8, Rue Dumont d’Urville, Paris 16e Arrondissement","145, Avenue de Versailles, Paris 16e Arrondissement",15.13
2023-01-18 20:50:39,"4, Rue Necker, Paris 4e Arrondissement","6, Rue Georges Lardennois, Paris 19e Arrondissement",5.09
2023-01-08 20:58:39,"21, Rue d’Aumale, Paris 9e Arrondissement","26, Rue Feydeau, Paris 2e Arrondissement",5.0
2023-01-25 22:14:19,"29, Rue de la Gaîté, Paris 14e Arrondissement","55, Rue des Cloÿs, Paris 18e Arrondissement",5.0
2023-01-06 13:09:50,"3, Rue du Moulin Vert, Paris 14e Arrondissement","21, Rue Labrouste, Paris 15e Arrondissement",5.0
2023-01-12 07:58:27,"2, Quai des Célestins, Paris 4e Arrondissement","3, Passage Flourens, Paris 17e Arrondissement",11.63
2023-01-15 09:01:54,"2, Rue Censier, Paris 5e Arrondissement","55, Rue Nollet, Paris 17e Arrondissement",5.22
2023-01-16 07:41:08,"8, Villa Méridienne, Paris 14e Arrondissement","21, Rue Sextius Michel, Paris 15e Arrondissement",5.0
2023-01-04 14:53:39,"20, Rue Saint-Hippolyte, Paris 13e Arrondissement","16, Hameau de Boulainvilliers, Paris 16e Arrondissement",5.0
2023-01-09 09:44:36,"8, Cité Industrielle, Paris 11e Arrondissement","28, Place de la Nation, Paris 12e Arrondissement",5.0
2023-01-29 20:32:49,"25, Rue Poussin, Paris 16e Arrondissement","5, Rue Saint-Amand, Paris 15e Arrondissement",8.54
2023-01-20 17:20:27,"19, Rue Richomme, Paris 18e Arrondissement","16, Rue de la Duée, Paris 20e Arrondissement",8.37
2023-01-05 14:19:38,"60, Rue de Bourgogne, Paris 7e Arrondissement","3, Rue Alexandre Cabanel, Paris 15e Arrondissement",5.0
2023-01-19 08:24:05,"198, Boulevard Malesherbes, Paris 17e Arrondissement","5, Rue de Patay, Paris 13e Arrondissement",43.07
2023-01-03 21:13:46,"132, Rue de Vaugirard, Paris 6e Arrondissement","54, Rue de Turenne, Paris 3e Arrondissement",8.5
2023-01-22 21:18:15,"3, Cité Champagne, Paris 20e Arrondissement","119, Rue d’Alésia, Paris 14e Arrondissement",17.4
2023-01-08 10:39:08,"21, Rue Abel Gance, Paris 13e Arrondissement","69, Avenue de Villiers, Paris 17e Arrondissement",7.58
2023-01-01 11:05:40,"19, Rue de Tolbiac, Paris 13e Arrondissement","334, Rue Saint-Honoré, Paris 1er Arrondissement",5.0
2023-01-17 00:22:18,"51, Rue de Provence, Paris 9e Arrondissement","1, Rue d’Assas, Paris 6e Arrondissement",5.0
2023-01-10 02:11:59,"7, Rue Albin Haller, Paris 13e Arrondissement","71, Boulevard Ornano, Paris 18e Arrondissement",5.0
2023-01-22 08:34:14,"48, Rue de Bassano, Paris 8e Arrondissement","23, Boulevard de Vaugirard, Paris 15e Arrondissement",5.7
2023-01-08 10:26:35,"23, Rue Chapon, Paris 3e Arrondissement","9, Villa Paul Verlaine, Paris 19e Arrondissement",5.0
2023-01-04 10:31:56,"16, Passage du Bureau, Paris 11e Arrondissement","76, Quai de la Rapée, Paris 12e Arrondissement",10.51
2023-01-20 14:51:01,"67, Quai de la Tournelle, Paris 5e Arrondissement","10, Rue Esclangon, Paris 18e Arrondissement",5.0
2023-01-06 15:48:05,"34, Rue des Vinaigriers, Paris 10e Arrondissement","62, Rue du Ruisseau, Paris 18e Arrondissement",5.0
2023-01-08 23:16:33,"6, Rue des Grands Augustins, Paris 6e Arrondissement","84, Rue du Volga, Paris 20e Arrondissement",10.44
2023-01-08 22:29:22,"12, Rue de l’Hôpital Saint-Louis, Paris 10e Arrondissement","15, Rue Rubens, Paris 13e Arrondissement",14.65
2023-01-25 20:06:26,"83, Rue Belliard, Paris 18e Arrondissement","169, Boulevard Macdonald, Paris 19e Arrondissement",5.0
2023-01-09 10:04:45,"6, Quai d’Orléans, Paris 4e Arrondissement","3, Villa Albert Robida, Paris 19e Arrondissement",8.91
2023-01-05 20:07:33,"10, Impasse du Crédit Lyonnais, Paris 13e Arrondissement","132, Avenue d’Italie, Paris 13e Arrondissement",5.0
2023-01-08 10:06:07,"16, Boulevard Exelmans, Paris 16e Arrondissement","47, Rue Jean-Pierre Timbaud, Paris 11e Arrondissement",19.22
2023-01-17 11:29:49,"29, Rue du Couédic, Paris 14e Arrondissement","1, Rue Buot, Paris 13e Arrondissement",5.0
2023-01-28 19:50:37,"41, Rue Jean Goujon, Paris 8e Arrondissement","21, Rue Rubens, Paris 13e Arrondissement",20.72
2023-01-01 18:15:55,"6, Rue Lecourbe, Paris 15e Arrondissement","70, Rue du Commerce, Paris 15e Arrondissement",5.0
2023-01-09 12:11:55,"2, Rue Charles Bertheau, Paris 13e Arrondissement","9, Rue Léonce Reynaud, Paris 16e Arrondissement",5.0
2023-01-24 15:17:11,"5, Rue Bois le Vent, Paris 16e Arrondissement","28, Rue Levert, Paris 20e Arrondissement",14.23
2023-01-29 18:29:43,"18, Rue Vernet, Paris 8e Arrondissement","61, Boulevard de Magenta, Paris 10e Arrondissement",5.98
2023-01-16 14:32:40,"47, Avenue Emile Zola, Paris 15e Arrondissement","4, Square du Quercy, Paris 20e Arrondissement",15.94
2023-01-11 21:38:44,"40, Rue Manin, Paris 19e Arrondissement","3, Rue du Pré Saint-Gervais, Paris 19e Arrondissement",5.0
2023-01-11 17:04:36,"8, Impasse Poule, Paris 20e Arrondissement","5, Rue du Commandeur, Paris 14e Arrondissement",7.49
2023-01-19 15:48:45,"1, Place Jean-Michel Basquiat, Paris 13e Arrondissement","10, Rue de Duras, Paris 8e Arrondissement",5.0
2023-01-28 18:53:58,"34, Rue de la Sourdière, Paris 1er Arrondissement","15, Boulevard Raspail, Paris 7e Arrondissement",5.0
2023-01-29 08:23:12,"4, Rue des Haies, Paris 20e Arrondissement","114, Rue Monge, Paris 5e Arrondissement",10.82
2023-01-17 23:37:40,"8, Rue Lincoln, Paris 8e Arrondissement","4, Avenue Paul Doumer, Paris 16e Arrondissement",5.23
2023-01-05 18:27:03,"373, Rue des Pyrénées, Paris 20e Arrondissement","21, Rue Gauthey, Paris 17e Arrondissement",5.0
2023-01-11 15:50:07,"6, Rue Valéry Larbaud, Paris 13e Arrondissement","12, Rue Lord Byron, Paris 8e Arrondissement",5.0
2023-01-07 21:51:16,"11, Rue de l’Eure, Paris 14e Arrondissement","62, Boulevard de Courcelles, Paris 17e Arrondissement",5.0
2023-01-17 12:59:37,"15, Rue Duguay-Trouin, Paris 6e Arrondissement","6, Rue de la Moselle, Paris 19e Arrondissement",5.0
2023-01-03 00:14:22,"194, Boulevard Saint-Germain, Paris 7e Arrondissement","39, Rue de la Voûte, Paris 12e Arrondissement",5.0
2023-01-28 13:19:49,"55, Rue Taitbout, Paris 9e Arrondissement","48, Rue de Poitou, Paris 3e Arrondissement",5.0
2023-01-11 16:09:40,"1, Rue du Buis, Paris 16e Arrondissement","149, Rue de Charonne, Paris 11e Arrondissement",7.33
2023-01-28 11:55:28,"110, Rue Truffaut, Paris 17e Arrondissement","21, Rue de Lille, Paris 7e Arrondissement",12.0
2023-01-27 20:47:00,"14, Rue Violet, Paris 15e Arrondissement","5, Rue du Faubourg Saint-Honoré, Paris 8e Arrondissement",8.4
2023-01-29 16:48:19,"6, Rue Mado Maurin, Paris 18e Arrondissement","112, Rue Castagnary, Paris 15e Arrondissement",5.93
2023-01-02 19:21:19,"11, Sente des Dorées, Paris 19e Arrondissement","20, Rue Rampal, Paris 19e Arrondissement",6.69
2023-01-28 17:30:30,"16, Rue Mouton-Duvernet, Paris 14e Arrondissement","25, Rue Saint-Bernard, Paris 11e Arrondissement",5.0
2023-01-31 09:27:55,"4, Rue de l’Abbé Gillet, Paris 16e Arrondissement","137, Rue Saint-Maur, Paris 11e Arrondissement",15.87
2023-01-11 00:27:25,"10, Boulevard de la Tour-Maubourg, Paris 7e Arrondissement","263, Avenue Daumesnil, Paris 12e Arrondissement",10.44
2023-01-13 07:22:19,"4, Rue Chanzy, Paris 11e Arrondissement","1, Rue Rudolf Noureev, Paris 17e Arrondissement",16.51
2023-01-19 09:23:18,"27, Rue Baudelique, Paris 18e Arrondissement","6, Rue Raymond Aron, Paris 13e Arrondissement",27.49
2023-01-07 01:38:22,"109, Rue du Chevaleret, Paris 13e Arrondissement","2, Place Baudoyer, Paris 4e Arrondissement",5.0
2023-01-31 20:34:32,"115, Boulevard Haussmann, Paris 8e Arrondissement","1, Rue Montalivet, Paris 8e Arrondissement",5.0
2023-01-25 06:38:57,"6, Rue du Pasteur Wagner, Paris 11e Arrondissement","28, Rue des Thermopyles, Paris 14e Arrondissement",17.25
2023-01-22 00:24:09,"13, Route de la Ferme, Paris 12e Arrondissement","20, Rue Ernestine, Paris 18e Arrondissement",18.37
2023-01-31 12:44:32,"21, Rue de Turbigo, Paris 2e Arrondissement","2, Voie Dm/20, Paris 20e Arrondissement",5.43
2023-01-24 16:59:51,"20, Cité Industrielle, Paris 11e Arrondissement","147, Rue de la Pompe, Paris 16e Arrondissement",6.12
2023-01-30 15:15:50,"9, Rue Saint-Sébastien, Paris 11e Arrondissement","58, Rue de Wattignies, Paris 12e Arrondissement",5.0
2023-01-31 09:56:40,"5, Avenue Myron Herrick, Paris 8e Arrondissement","11, Rue Francis Jammes, Paris 10e Arrondissement",9.27
2023-01-22 18:43:00,"25, Rue Saint-Didier, Paris 16e Arrondissement","108, Avenue Kléber, Paris 16e Arrondissement",5.0
2023-01-18 21:07:26,"190, Rue Pelleport, Paris 20e Arrondissement","75, Avenue Raymond Poincaré, Paris 16e Arrondissement",8.31
2023-01-21 00:37:28,"115, Rue de l’Université, Paris 7e Arrondissement","14, Rue Médéric, Paris 17e Arrondissement",5.0
2023-01-29 20:55:19,"32, Rue Etex, Paris 18e Arrondissement","25, Rue du Colisée, Paris 8e Arrondissement",6.03
2023-01-16 15:59:13,"41, Rue des Bois, Paris 19e Arrondissement","28, Rue George Sand, Paris 16e Arrondissement",8.11
2023-01-17 16:57:30,"2, Rue des Halles, Paris 1er Arrondissement","199, Rue Saint-Honoré, Paris 1er Arrondissement",5.0
2023-01-12 23:17:15,"15, Rue Cail, Paris 10e Arrondissement","100, Rue de Clignancourt, Paris 18e Arrondissement",5.0
2023-01-16 19:06:29,"12, Rue Marie-Hélène Lefaucheux, Paris 19e Arrondissement","16, Rue Valadon, Paris 7e Arrondissement",37.22
2023-01-11 14:17:21,"8, Voie U/16, Paris 16e Arrondissement","261, Avenue Daumesnil, Paris 12e Arrondissement",9.06
2023-01-16 09:46:44,"29, Rue Santerre, Paris 12e Arrondissement","12, Rue Tholozé, Paris 18e Arrondissement",17.42
2023-01-26 13:49:24,"20, Villa Riberolle, Paris 20e Arrondissement","14, Villa de Lourcine, Paris 14e Arrondissement",13.93
2023-01-25 21:08:59,"11, Rue des Fillettes, Paris 18e Arrondissement","11, Rue Newton, Paris 16e Arrondissement",11.61
2023-01-20 11:43:29,"48, Rue du Roi de Sicile, Paris 4e Arrondissement","19, Rue des Pruniers, Paris 20e Arrondissement",11.21
2023-01-26 16:57:42,"23, Rue Viète, Paris 17e Arrondissement","93, Rue Lecourbe, Paris 15e Arrondissement",5.0
2023-01-16 15:47:54,"37, Rue de Bretagne, Paris 3e Arrondissement","19, Rue Adolphe Mille, Paris 19e Arrondissement",5.0
2023-01-14 09:19:33,"7, Passage Stendhal, Paris 20e Arrondissement","9, Rue des Fermiers, Paris 17e Arrondissement",9.12
2023-01-28 18:57:58,"8, Rue Gaston de Saint-Paul, Paris 16e Arrondissement","4, Rue de Poitou, Paris 3e Arrondissement",12.53
2023-01-09 21:45:27,"2, Villa Duthy, Paris 14e Arrondissement","14, Allée de la Deuxième D.b., Paris 14e Arrondissement",5.0
2023-01-30 22:47:01,"7, Rue de la Duée, Paris 20e Arrondissement","30, Avenue de la Porte de Vitry, Paris 13e Arrondissement",21.97
2023-01-19 15:35:37,"7, Rue Charles le Goffic, Paris 14e Arrondissement","26, Rue de la Duée, Paris 20e Arrondissement",5.77
2023-01-27 13:50:37,"27, Rue Eugène Varlin, Paris 10e Arrondissement","14, Cité Vaneau, Paris 7e Arrondissement",10.5
2023-01-28 09:43:03,"10, Rue de Nice, Paris 11e Arrondissement","10, Rue de Courcelles, Paris 8e Arrondissement",18.69
2023-01-08 14:54:49,"64, Rue Vasco de Gama, Paris 15e Arrondissement","5, Impasse des Carrières, Paris 16e Arrondissement",5.0
2023-01-04 07:23:57,"4, Rue François Bloch-Lainé, Paris 13e Arrondissement","42, Rue de Torcy, Paris 18e Arrondissement",5.0
2023-01-21 09:18:54,"10, Passage Dubois, Paris 19e Arrondissement","6, Rue de la Martinique, Paris 18e Arrondissement",5.0
2023-01-31 09:27:50,"29, Rue de l’Espérance, Paris 13e Arrondissement","66, Rue des Plantes, Paris 14e Arrondissement",5.0
2023-01-25 10:11:47,"43, Avenue de Versailles, Paris 16e Arrondissement","101, Rue Villiers de l’Isle Adam, Paris 20e Arrondissement",44.53
2023-01-07 08:40:11,"16, Rue Sthrau, Paris 13e Arrondissement","66, Boulevard de Courcelles, Paris 17e Arrondissement",7.22
